Course Title,Rating
Analytical Mechanics for Spacecraft Dynamics,0.0
Analytical Solutions to Common Healthcare Problems,4.6
Analytics for Decision Making Specialization,4.8
Analytics in Healthcare Management and Administration,0.0
Analyze Data to Answer Questions,4.6
Analyzing Digital Transformation Canvas for Competitiveness ,0.0
Analyzing Thermodynamics Processes using Wolfram notebook,0.0
Analyzing and Visualizing Data in Looker,4.7
Analyzing and Visualizing Data the Google Way,3.8
Analyzing the Universe,4.8
Anatomy & Physiology: Exchange and Energy,0.0
Anatomy & Physiology: Filtration and Reproduction,0.0
"Anatomy & Physiology: Fluids, Transport, and Defense",0.0
Anatomy & Physiology: Levels of Organization,4.8
"Anatomy & Physiology: Regulation, Integration, & Control",0.0
Anatomy & Physiology: Support & Movement,5.0
Anatomy Specialization,4.8
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.  ,4.8
"Anatomy of the Chest, Neck, Abdomen, and Pelvis",4.8
Anatomy of the Upper and Lower Extremities ,4.9
"Anatomy: Cardiovascular, Respiratory and Urinary Systems",4.8
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",4.8
Anatomy: Human Neuroanatomy,4.9
Anatomy: Musculoskeletal and Integumentary Systems,4.8
Ancient Philosophy: Aristotle and His Successors,4.8
Ancient Philosophy: Plato & His Predecessors,4.8
Android App Development Specialization,4.4
Angewandte numerische Fluiddynamik,0.0
Anima personajes 2D en software Unity,0.0
Animaciones en Pygame: Crea juegos 2D,0.0
Animal Behaviour and Welfare,4.8
Animals and Institutions,4.8
Animals and Society Specialization,4.7
"Animals, Self, and Society",4.7
Animer une séance collaborative,4.5
Annual Campaigns: Building a Case for Support,4.2
Ansible Basics & Installing WordPress on LAMP with Playbooks,4.5
Ansible for DevOps: Write your first Playbook ,4.5
Ansible for Network Automation,0.0
Anti-Racism I,4.6
Anti-Racism II,4.5
Anti-Racism III,0.0
Anti-Racism Specialization,4.7
Antibiotic Stewardship ,4.6
"Antibióticos ¿cuándo, cómo y para qué?",4.2
"Anticipating Your Next Battle, in Business and Beyond",4.5
Anticoagulación,4.9
Anticoncepción hormonal al alcance de todos,4.7
Anticorrupción: Introducción a conceptos y perspectiva práctica,4.8
Antimicrobial resistance - theory and methods,4.7
Antisemitism: From Its Origins to the Present,4.6
Antisemitismo: Desde sus orígenes hasta el presente,4.9
Análises de Rede com Kumu,0.0
Análisis cualitativo y cuantitativo del riesgo de desastres ,0.0
Análisis de Datos de Google Professional Certificate,4.8
Análisis de Negocios con Estados Financieros,4.8
Análisis de Sistemas Eléctricos y Transición Energética,4.8
Análisis de Sistemas de Transporte,4.7
Análisis de riesgos de desastres y cambio climático Specialization,0.0
Análisis del contexto para fundamentar diseño de instrucción,0.0
Análisis estático lineal y no lineal de estructuras,0.0
Análisis visual con Tableau,0.0
Apache Spark (TM) SQL for Data Analysts,4.5
Aplicaciones musicales con Arduino,4.5
Apoio Técnico de TI da Google Professional Certificate,4.9
App Dev: Adding User Authentication to your Application - Python,0.0
App Development with Power Apps: Create Custom Components,0.0
Application Development using Microservices and Serverless ,4.6
Application Development with Cloud Run,4.5
Application Modernization for Enterprise Systems,0.0
Application Security for Developers and DevOps Professionals,4.8
"Application of AI, InsurTech, and Real Estate Technology",4.6
Application of Data Analysis in Business with R Programming,4.4
Application of Health Equity Research Methods for Practice and Policy ,4.9
Applications in Engineering Mechanics,4.8
Applications of Software Architecture for Big Data,0.0
Applied AI with DeepLearning,4.4
Applied Bioinformatics Specialization,0.0
Applied Calculus with Python,4.8
Applied ChatGPT for Cybersecurity,4.4
Applied Computational Fluid Dynamics,4.8
Applied Cryptography Specialization,4.5
Applied Data Science Capstone,4.7
Applied Data Science Specialization,4.6
Applied Data Science for Data Analysts,4.5
Applied Data Science with Python Specialization,4.5
Applied Data Science with R Specialization,4.5
Applied Digital Literacy Specialization,4.7
Applied Machine Learning in Python,4.6
"Applied Plotting, Charting & Data Representation in Python",4.5
"Applied Public History: Places, People, Stories",4.8
Applied Python Data Engineering Specialization,0.0
Applied Social Network Analysis in Python,4.6
Applied Software Engineering Fundamentals Specialization,4.7
Applied Text Mining in Python,4.2
Apply Generative Adversarial Networks (GANs),4.8
Applying Data Analytics in Finance,4.5
Applying Machine Learning to your Data with Google Cloud,4.7
Applying Participatory Approaches in Public Health Settings,0.0
Applying to College 101,0.0
Applying to U.S. Universities,4.8
Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,4.8
Approaching Music Theory: Melodic Forms and Simple Harmony,4.7
Approche agile et design thinking,0.0
Approximation Methods,0.0
Aprende a programar con Python Specialization,4.5
Aprendendo a aprender: ferramentas mentais poderosas para ajudá-lo a dominar assuntos difíceis (em Português) [Learning How to Learn],4.9
Aprender,4.9
Aprendiendo a Aprender,4.9
Aprendiendo a aprender para jóvenes,4.9
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),4.9
Aprendizaje de las matemáticas de primaria,4.9
"Aprendizaje, primera infancia y desarrollo de habilidades",0.0
Aprendizajes en Ingeniería y Agricultura con Arduino: Construcción y automatización de un invernadero,4.8
Arch of Titus: Rome and the Menorah,4.5
Archaeoastronomy,4.5
Archaeology and Heritage of Africa,4.9
Architecting Solutions on AWS,4.9
Architecting with Google Compute Engine Specialization,4.7
Architecting with Google Compute Engine 日本語版 Specialization,4.6
Architecting with Google Kubernetes Engine Specialization,4.7
Architecting with Google Kubernetes Engine 日本語版 Specialization,4.5
Architecting with Google Kubernetes Engine: Foundations,4.7
Architecting with Google Kubernetes Engine: Production en Español,4.9
Architecting with Google Kubernetes Engine: Workloads,4.7
Architecting with Google Kubernetes Engine: Workloads em Português Brasileiro,0.0
Arctic Development,4.7
Arctic Economy ,4.6
Arctic Meltdown Specialization,4.8
Arctic Peoples and Cultures ,4.2
Arm Cortex-M Architecture and Software Development Specialization,4.6
Aromatherapy: Clinical Use of Essential Oils,4.9
Arranging for Songwriters,4.4
Art & Activity: Interactive Strategies for Engaging with Art,4.8
Art & Ideas: Teaching with Themes,4.8
Art & Inquiry: Museum Teaching Strategies For Your Classroom,4.7
Art and the Digital Transformation,0.0
Art for Games  Specialization,4.5
Art of the MOOC:  Experiments with Sound,4.8
Artificial Creativity,4.5
Artificial Intelligence (AI) Education for Teachers,4.7
Artificial Intelligence in Marketing,4.5
Artificial Intelligence on Microsoft Azure,4.6
Artificial Intelligence: Ethics & Societal Challenges,4.6
Artificial Intelligence: an Overview Specialization,4.5
Arts and Culture Strategy,4.7
Arts and Heritage Management,4.8
Aruba CX Switching for Cisco Professionals,4.5
Aruba Mobility Basics,4.9
Aruba Network Automation Basics ,0.0
Aruba Network Security Basics,0.0
Aruba Networking Basics,4.7
Aruba Networking Basics for Spanish Speakers ,0.0
Ash-Related Operational Challenges in Energy Utilization of Sustainable Fuels,4.8
Asia Oriental en el s. XX: introducción desde la Historia,4.9
Asian American History and Identity: An Anti-Racism Toolkit,0.0
Asian Environmental Humanities: Landscapes in Transition,4.7
Ask Questions to Make Data-Driven Decisions,4.7
Aspectos básicos de la asistencia técnica,4.9
Aspectos básicos del diseño de la experiencia del usuario,4.9
"Aspectos básicos: Datos, datos, en todas partes",4.8
Aspectos conceptuales y operativos de la Telesalud,0.0
Aspectos fundamentales de la gerencia,4.8
Assess for Success: Marketing Analytics and Measurement,4.6
Assessing Achievement with the ELL in Mind,4.6
Assessing Conflict ,0.0
Assessing Cultural Climate,4.9
Assessing Health Program Delivery,0.0
Assessing and Improving Community Health,4.4
Assessment for Data Analysis and Visualization Foundations,4.6
Assessment for Learning,4.7
Assessment in Higher Education: Professional Development for Teachers,4.8
"Assessment, Interviewing and Onboarding",3.4
Assets in Accounting,4.4
"Assets, Threats, and Vulnerabilities",4.8
Assimilating into Your New Job,4.5
Astro 101: Black Holes,4.8
AstroTech: The Science and Technology behind Astronomical Discovery,4.7
Astrobiology and the Search for Extraterrestrial Life,4.8
Astrobiology: Exploring Other Worlds,4.9
Astronomy: Exploring Time and Space,4.8
At the Origins of the Mediterranean Civilization: Archaeology of the City from the Levant to the West - 3rd-1st millennium BC,4.5
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,4.8
Atención centrada en el paciente,0.0
Atraer clientes e interactuar con ellos/as mediante el marketing digital,4.9
Attaining Higher Education,0.0
Attention Mechanism,4.0
Attitude Control with Momentum Exchange Devices,0.0
Attract and Engage Customers with Digital Marketing,4.8
Audio digital con Pure Data,4.8
Audit System with Spring Boot AOP,0.0
Auditing I: Conceptual Foundations of Auditing,4.7
AutoML tools for data science,0.0
Autodesk CAD/CAM for Manufacturing Specialization,4.8
Autodesk CAD/CAM/CAE for Mechanical Engineering Specialization,4.8
Autodesk Fusion 360 Integrated CAD/CAM/CAE,4.7
Autodesk Generative Design for Manufacturing Specialization,4.8
Autoliderazgo y gestión de emociones para avanzar en desafíos complejos,4.9
Automate Approval Process with SharePoint & Power Automate,4.1
Automate Cybersecurity Tasks with Python,4.8
Automate Doc Review Process with SharePoint & Power Automate,3.9
Automating Image Processing,0.0
Automating Real-World Tasks with Python,4.8
Automation Business Analysis - Concepts and Principles,4.8
Automation for Business,0.0
Automation in the AWS Cloud,0.0
Automation with Ansible,0.0
Automize Business Communication using Power Automate,4.3
Automize Monthly Report Creation with Power Automate,4.8
Autonomous Aerospace Systems,4.6
Autonomous Vehicle Engineering Specialization,4.3
"Autoridad, dirección y liderazgo",4.8
Avatar Psychology for Designers,3.8
Averaged-Switch Modeling and Simulation,4.7
Avoiding Bias ,0.0
Avoiding Data Science Pitfalls,0.0
Azure Devops: Introduction to CI/CD with Visual Studio,4.2
Azure Network Engineer: AZ-700 Exam Prep & Certification Specialization,0.0
Azure Networking Fundamentals,0.0
Azure: Create a Virtual Machine and Deploy a Web Server,4.5
Azure: Identity and Access Management,0.0
Azure: create a REST API using NodeJS Serverless Functions,4.4
Azure: deploy a Web Server using the Container Registry,0.0
"BI Foundations with SQL, ETL and Data Warehousing Specialization",4.6
BIM Application for Engineers,4.7
BIM Fundamentals for Engineers,4.7
Back-end Application Development Capstone Project,5.0
Bacteria and Chronic Infections,4.7
Bacterial Bioinformatics,4.7
Bajemos la temperatura: De la ciencia climática a la acción,4.8
Baseball and Americanism,0.0
Baseball into the Millennium,0.0
"Bases : Des données, des données, partout",4.6
Bases de Datos SQL en Azure,0.0
Bases de la conception Expérience Utilisateur (UX),4.6
Bases de la gestion de projet,4.5
Bases de la planification et de la gestion de projet,4.7
Bash Scripting and System Configuration,0.0
